Record Length,Analog:7000,,,,
Sample Interval,CH1:0.0000010000000 CH2:0.0000010000000,,,,
Vertical Units,CH1:V CH2:V,,,,
Vertical Scale,CH1:0.05 CH2:0.50,,,,
Vertical Offset,CH1:-0.17100 CH2:-0.13000,,,,
Horizontal Units,us,,,,
Horizontal Scale,500,,,,
Model Number,T3DSO1104 ,,,,
Serial Number,T0101C18470265,,,,
Software Version,8.1.6.1.26,,,,
Source,CH1,CH2,,,
Second,Volt,Volt,,voltage,wavelength
0.001512,0.307,0.87,80.87,80.87,-0.19762828
0.001513,0.303,0.87,80.87,80.87,-0.19762828
0.001514,0.305,0.87,80.87,80.87,-0.19762828
0.001515,0.305,0.87,80.87,80.87,-0.19762828
0.001516,0.305,0.85,80.85,80.85,-0.197568733
0.001517,0.303,0.87,80.87,80.87,-0.19762828
0.001518,0.307,0.85,80.85,80.85,-0.197568733
0.001519,0.309,0.85,80.85,80.85,-0.197568733
0.00152,0.307,0.85,80.85,80.85,-0.197568733
0.001521,0.303,0.85,80.85,80.85,-0.197568733
0.001522,0.303,0.83,80.83,80.83,-0.197509186
0.001523,0.307,0.85,80.85,80.85,-0.197568733
0.001524,0.307,0.83,80.83,80.83,-0.197509186
0.001525,0.303,0.83,80.83,80.83,-0.197509186
0.001526,0.307,0.83,80.83,80.83,-0.197509186
0.001527,0.309,0.83,80.83,80.83,-0.197509186
0.001528,0.305,0.83,80.83,80.83,-0.197509186
0.001529,0.305,0.83,80.83,80.83,-0.197509186
0.00153,0.305,0.85,80.85,80.85,-0.197568733
0.001531,0.305,0.85,80.85,80.85,-0.197568733
0.001532,0.305,0.83,80.83,80.83,-0.197509186
0.001533,0.303,0.85,80.85,80.85,-0.197568733
0.001534,0.303,0.83,80.83,80.83,-0.197509186
0.001535,0.307,0.85,80.85,80.85,-0.197568733
0.001536,0.305,0.83,80.83,80.83,-0.197509186
0.001537,0.307,0.85,80.85,80.85,-0.197568733
0.001538,0.303,0.85,80.85,80.85,-0.197568733
0.001539,0.305,0.85,80.85,80.85,-0.197568733
0.00154,0.307,0.85,80.85,80.85,-0.197568733
0.001541,0.305,0.83,80.83,80.83,-0.197509186
0.001542,0.303,0.83,80.83,80.83,-0.197509186
0.001543,0.305,0.85,80.85,80.85,-0.197568733
0.001544,0.305,0.85,80.85,80.85,-0.197568733
0.001545,0.309,0.85,80.85,80.85,-0.197568733
0.001546,0.307,0.83,80.83,80.83,-0.197509186
0.001547,0.305,0.85,80.85,80.85,-0.197568733
0.001548,0.303,0.85,80.85,80.85,-0.197568733
0.001549,0.305,0.83,80.83,80.83,-0.197509186
0.00155,0.303,0.83,80.83,80.83,-0.197509186
0.001551,0.307,0.83,80.83,80.83,-0.197509186
0.001552,0.301,0.83,80.83,80.83,-0.197509186
0.001553,0.305,0.85,80.85,80.85,-0.197568733
0.001554,0.303,0.83,80.83,80.83,-0.197509186
0.001555,0.303,0.83,80.83,80.83,-0.197509186
0.001556,0.303,0.83,80.83,80.83,-0.197509186
0.001557,0.305,0.83,80.83,80.83,-0.197509186
0.001558,0.303,0.85,80.85,80.85,-0.197568733
0.001559,0.305,0.83,80.83,80.83,-0.197509186
0.00156,0.305,0.85,80.85,80.85,-0.197568733
0.001561,0.303,0.83,80.83,80.83,-0.197509186
0.001562,0.307,0.83,80.83,80.83,-0.197509186
0.001563,0.301,0.85,80.85,80.85,-0.197568733
0.001564,0.303,0.85,80.85,80.85,-0.197568733
0.001565,0.307,0.83,80.83,80.83,-0.197509186
0.001566,0.307,0.85,80.85,80.85,-0.197568733
0.001567,0.305,0.83,80.83,80.83,-0.197509186
0.001568,0.303,0.85,80.85,80.85,-0.197568733
0.001569,0.303,0.83,80.83,80.83,-0.197509186
0.00157,0.305,0.83,80.83,80.83,-0.197509186
0.001571,0.307,0.81,80.81,80.81,-0.19744964
0.001572,0.307,0.83,80.83,80.83,-0.197509186
0.001573,0.309,0.81,80.81,80.81,-0.19744964
0.001574,0.309,0.83,80.83,80.83,-0.197509186
0.001575,0.303,0.83,80.83,80.83,-0.197509186
0.001576,0.303,0.81,80.81,80.81,-0.19744964
0.001577,0.307,0.83,80.83,80.83,-0.197509186
0.001578,0.303,0.81,80.81,80.81,-0.19744964
0.001579,0.303,0.81,80.81,80.81,-0.19744964
0.00158,0.305,0.83,80.83,80.83,-0.197509186
0.001581,0.303,0.81,80.81,80.81,-0.19744964
0.001582,0.303,0.83,80.83,80.83,-0.197509186
0.001583,0.305,0.81,80.81,80.81,-0.19744964
0.001584,0.307,0.83,80.83,80.83,-0.197509186
0.001585,0.303,0.83,80.83,80.83,-0.197509186
0.001586,0.305,0.81,80.81,80.81,-0.19744964
0.001587,0.307,0.81,80.81,80.81,-0.19744964
0.001588,0.305,0.81,80.81,80.81,-0.19744964
0.001589,0.305,0.83,80.83,80.83,-0.197509186
0.00159,0.303,0.81,80.81,80.81,-0.19744964
0.001591,0.307,0.81,80.81,80.81,-0.19744964
0.001592,0.303,0.81,80.81,80.81,-0.19744964
0.001593,0.305,0.81,80.81,80.81,-0.19744964
0.001594,0.305,0.81,80.81,80.81,-0.19744964
0.001595,0.305,0.81,80.81,80.81,-0.19744964
0.001596,0.303,0.83,80.83,80.83,-0.197509186
0.001597,0.301,0.83,80.83,80.83,-0.197509186
0.001598,0.303,0.83,80.83,80.83,-0.197509186
0.001599,0.307,0.83,80.83,80.83,-0.197509186
0.0016,0.307,0.81,80.81,80.81,-0.19744964
0.001601,0.305,0.83,80.83,80.83,-0.197509186
0.001602,0.305,0.81,80.81,80.81,-0.19744964
0.001603,0.305,0.81,80.81,80.81,-0.19744964
0.001604,0.303,0.83,80.83,80.83,-0.197509186
0.001605,0.303,0.81,80.81,80.81,-0.19744964
0.001606,0.305,0.81,80.81,80.81,-0.19744964
0.001607,0.301,0.83,80.83,80.83,-0.197509186
0.001608,0.305,0.81,80.81,80.81,-0.19744964
0.001609,0.309,0.83,80.83,80.83,-0.197509186
0.00161,0.303,0.83,80.83,80.83,-0.197509186
0.001611,0.305,0.81,80.81,80.81,-0.19744964
0.001612,0.303,0.83,80.83,80.83,-0.197509186
0.001613,0.307,0.83,80.83,80.83,-0.197509186
0.001614,0.303,0.81,80.81,80.81,-0.19744964
0.001615,0.307,0.81,80.81,80.81,-0.19744964
0.001616,0.305,0.83,80.83,80.83,-0.197509186
0.001617,0.303,0.83,80.83,80.83,-0.197509186
0.001618,0.305,0.81,80.81,80.81,-0.19744964
0.001619,0.303,0.79,80.79,80.79,-0.197390093
0.00162,0.307,0.81,80.81,80.81,-0.19744964
0.001621,0.307,0.81,80.81,80.81,-0.19744964
0.001622,0.309,0.81,80.81,80.81,-0.19744964
0.001623,0.309,0.81,80.81,80.81,-0.19744964
0.001624,0.307,0.81,80.81,80.81,-0.19744964
0.001625,0.305,0.79,80.79,80.79,-0.197390093
0.001626,0.305,0.81,80.81,80.81,-0.19744964
0.001627,0.305,0.79,80.79,80.79,-0.197390093
0.001628,0.307,0.79,80.79,80.79,-0.197390093
0.001629,0.305,0.81,80.81,80.81,-0.19744964
0.00163,0.303,0.81,80.81,80.81,-0.19744964
0.001631,0.307,0.81,80.81,80.81,-0.19744964
0.001632,0.303,0.81,80.81,80.81,-0.19744964
0.001633,0.303,0.79,80.79,80.79,-0.197390093
0.001634,0.305,0.79,80.79,80.79,-0.197390093
0.001635,0.305,0.79,80.79,80.79,-0.197390093
0.001636,0.305,0.81,80.81,80.81,-0.19744964
0.001637,0.305,0.81,80.81,80.81,-0.19744964
0.001638,0.303,0.81,80.81,80.81,-0.19744964
0.001639,0.307,0.81,80.81,80.81,-0.19744964
0.00164,0.305,0.81,80.81,80.81,-0.19744964
0.001641,0.307,0.81,80.81,80.81,-0.19744964
0.001642,0.305,0.81,80.81,80.81,-0.19744964
0.001643,0.305,0.79,80.79,80.79,-0.197390093
0.001644,0.307,0.79,80.79,80.79,-0.197390093
0.001645,0.305,0.81,80.81,80.81,-0.19744964
0.001646,0.303,0.79,80.79,80.79,-0.197390093
0.001647,0.307,0.81,80.81,80.81,-0.19744964
0.001648,0.307,0.81,80.81,80.81,-0.19744964
0.001649,0.307,0.79,80.79,80.79,-0.197390093
0.00165,0.303,0.81,80.81,80.81,-0.19744964
0.001651,0.309,0.81,80.81,80.81,-0.19744964
0.001652,0.307,0.79,80.79,80.79,-0.197390093
0.001653,0.305,0.79,80.79,80.79,-0.197390093
0.001654,0.307,0.79,80.79,80.79,-0.197390093
0.001655,0.303,0.81,80.81,80.81,-0.19744964
0.001656,0.307,0.81,80.81,80.81,-0.19744964
0.001657,0.305,0.81,80.81,80.81,-0.19744964
0.001658,0.305,0.81,80.81,80.81,-0.19744964
0.001659,0.309,0.81,80.81,80.81,-0.19744964
0.00166,0.309,0.79,80.79,80.79,-0.197390093
0.001661,0.305,0.79,80.79,80.79,-0.197390093
0.001662,0.307,0.79,80.79,80.79,-0.197390093
0.001663,0.305,0.79,80.79,80.79,-0.197390093
0.001664,0.307,0.81,80.81,80.81,-0.19744964
0.001665,0.301,0.79,80.79,80.79,-0.197390093
0.001666,0.305,0.81,80.81,80.81,-0.19744964
0.001667,0.305,0.79,80.79,80.79,-0.197390093
0.001668,0.301,0.79,80.79,80.79,-0.197390093
0.001669,0.303,0.79,80.79,80.79,-0.197390093
0.00167,0.303,0.77,80.77,80.77,-0.197330546
0.001671,0.307,0.77,80.77,80.77,-0.197330546
0.001672,0.309,0.79,80.79,80.79,-0.197390093
0.001673,0.307,0.79,80.79,80.79,-0.197390093
0.001674,0.307,0.79,80.79,80.79,-0.197390093
0.001675,0.307,0.79,80.79,80.79,-0.197390093
0.001676,0.307,0.79,80.79,80.79,-0.197390093
0.001677,0.303,0.79,80.79,80.79,-0.197390093
0.001678,0.307,0.79,80.79,80.79,-0.197390093
0.001679,0.307,0.79,80.79,80.79,-0.197390093
0.00168,0.303,0.77,80.77,80.77,-0.197330546
0.001681,0.305,0.79,80.79,80.79,-0.197390093
0.001682,0.303,0.77,80.77,80.77,-0.197330546
0.001683,0.309,0.79,80.79,80.79,-0.197390093
0.001684,0.307,0.79,80.79,80.79,-0.197390093
0.001685,0.307,0.79,80.79,80.79,-0.197390093
0.001686,0.305,0.77,80.77,80.77,-0.197330546
0.001687,0.299,0.79,80.79,80.79,-0.197390093
0.001688,0.307,0.77,80.77,80.77,-0.197330546
0.001689,0.305,0.79,80.79,80.79,-0.197390093
0.00169,0.307,0.79,80.79,80.79,-0.197390093
0.001691,0.305,0.77,80.77,80.77,-0.197330546
0.001692,0.303,0.79,80.79,80.79,-0.197390093
0.001693,0.303,0.77,80.77,80.77,-0.197330546
0.001694,0.305,0.79,80.79,80.79,-0.197390093
0.001695,0.301,0.79,80.79,80.79,-0.197390093
0.001696,0.307,0.79,80.79,80.79,-0.197390093
0.001697,0.307,0.77,80.77,80.77,-0.197330546
0.001698,0.305,0.79,80.79,80.79,-0.197390093
0.001699,0.307,0.79,80.79,80.79,-0.197390093
0.0017,0.307,0.79,80.79,80.79,-0.197390093
0.001701,0.303,0.77,80.77,80.77,-0.197330546
0.001702,0.309,0.77,80.77,80.77,-0.197330546
0.001703,0.307,0.79,80.79,80.79,-0.197390093
0.001704,0.305,0.79,80.79,80.79,-0.197390093
0.001705,0.305,0.79,80.79,80.79,-0.197390093
0.001706,0.307,0.77,80.77,80.77,-0.197330546
0.001707,0.309,0.79,80.79,80.79,-0.197390093
0.001708,0.307,0.79,80.79,80.79,-0.197390093
0.001709,0.311,0.79,80.79,80.79,-0.197390093
0.00171,0.303,0.79,80.79,80.79,-0.197390093
0.001711,0.305,0.77,80.77,80.77,-0.197330546
0.001712,0.305,0.77,80.77,80.77,-0.197330546
0.001713,0.309,0.79,80.79,80.79,-0.197390093
0.001714,0.307,0.77,80.77,80.77,-0.197330546
0.001715,0.307,0.75,80.75,80.75,-0.197271
0.001716,0.303,0.75,80.75,80.75,-0.197271
0.001717,0.309,0.77,80.77,80.77,-0.197330546
0.001718,0.307,0.79,80.79,80.79,-0.197390093
0.001719,0.307,0.77,80.77,80.77,-0.197330546
0.00172,0.307,0.75,80.75,80.75,-0.197271
0.001721,0.305,0.77,80.77,80.77,-0.197330546
0.001722,0.307,0.77,80.77,80.77,-0.197330546
0.001723,0.301,0.77,80.77,80.77,-0.197330546
0.001724,0.309,0.77,80.77,80.77,-0.197330546
0.001725,0.307,0.77,80.77,80.77,-0.197330546
0.001726,0.309,0.75,80.75,80.75,-0.197271
0.001727,0.303,0.77,80.77,80.77,-0.197330546
0.001728,0.305,0.77,80.77,80.77,-0.197330546
0.001729,0.303,0.77,80.77,80.77,-0.197330546
0.00173,0.309,0.77,80.77,80.77,-0.197330546
0.001731,0.305,0.75,80.75,80.75,-0.197271
0.001732,0.309,0.75,80.75,80.75,-0.197271
0.001733,0.307,0.77,80.77,80.77,-0.197330546
0.001734,0.307,0.75,80.75,80.75,-0.197271
0.001735,0.305,0.77,80.77,80.77,-0.197330546
0.001736,0.307,0.75,80.75,80.75,-0.197271
0.001737,0.305,0.77,80.77,80.77,-0.197330546
0.001738,0.307,0.77,80.77,80.77,-0.197330546
0.001739,0.305,0.77,80.77,80.77,-0.197330546
0.00174,0.307,0.75,80.75,80.75,-0.197271
0.001741,0.307,0.77,80.77,80.77,-0.197330546
0.001742,0.303,0.75,80.75,80.75,-0.197271
0.001743,0.305,0.75,80.75,80.75,-0.197271
0.001744,0.307,0.77,80.77,80.77,-0.197330546
0.001745,0.307,0.75,80.75,80.75,-0.197271
0.001746,0.299,0.77,80.77,80.77,-0.197330546
0.001747,0.305,0.77,80.77,80.77,-0.197330546
0.001748,0.305,0.77,80.77,80.77,-0.197330546
0.001749,0.307,0.77,80.77,80.77,-0.197330546
0.00175,0.305,0.77,80.77,80.77,-0.197330546
0.001751,0.305,0.75,80.75,80.75,-0.197271
0.001752,0.309,0.75,80.75,80.75,-0.197271
0.001753,0.307,0.77,80.77,80.77,-0.197330546
0.001754,0.309,0.75,80.75,80.75,-0.197271
0.001755,0.305,0.77,80.77,80.77,-0.197330546
0.001756,0.305,0.77,80.77,80.77,-0.197330546
0.001757,0.303,0.75,80.75,80.75,-0.197271
0.001758,0.309,0.77,80.77,80.77,-0.197330546
0.001759,0.309,0.77,80.77,80.77,-0.197330546
0.00176,0.307,0.75,80.75,80.75,-0.197271
0.001761,0.307,0.77,80.77,80.77,-0.197330546
0.001762,0.307,0.77,80.77,80.77,-0.197330546
0.001763,0.305,0.75,80.75,80.75,-0.197271
0.001764,0.307,0.73,80.73,80.73,-0.197211453
0.001765,0.307,0.75,80.75,80.75,-0.197271
0.001766,0.303,0.77,80.77,80.77,-0.197330546
0.001767,0.305,0.75,80.75,80.75,-0.197271
0.001768,0.305,0.75,80.75,80.75,-0.197271
0.001769,0.305,0.75,80.75,80.75,-0.197271
0.00177,0.305,0.75,80.75,80.75,-0.197271
0.001771,0.307,0.75,80.75,80.75,-0.197271
0.001772,0.307,0.75,80.75,80.75,-0.197271
0.001773,0.307,0.73,80.73,80.73,-0.197211453
0.001774,0.311,0.75,80.75,80.75,-0.197271
0.001775,0.307,0.73,80.73,80.73,-0.197211453
0.001776,0.309,0.75,80.75,80.75,-0.197271
0.001777,0.305,0.75,80.75,80.75,-0.197271
0.001778,0.307,0.75,80.75,80.75,-0.197271
0.001779,0.305,0.75,80.75,80.75,-0.197271
0.00178,0.305,0.75,80.75,80.75,-0.197271
0.001781,0.307,0.75,80.75,80.75,-0.197271
0.001782,0.303,0.73,80.73,80.73,-0.197211453
0.001783,0.307,0.75,80.75,80.75,-0.197271
0.001784,0.305,0.75,80.75,80.75,-0.197271
0.001785,0.311,0.73,80.73,80.73,-0.197211453
0.001786,0.305,0.73,80.73,80.73,-0.197211453
0.001787,0.309,0.75,80.75,80.75,-0.197271
0.001788,0.307,0.75,80.75,80.75,-0.197271
0.001789,0.311,0.73,80.73,80.73,-0.197211453
0.00179,0.309,0.75,80.75,80.75,-0.197271
0.001791,0.305,0.75,80.75,80.75,-0.197271
0.001792,0.307,0.75,80.75,80.75,-0.197271
0.001793,0.309,0.75,80.75,80.75,-0.197271
0.001794,0.307,0.75,80.75,80.75,-0.197271
0.001795,0.303,0.75,80.75,80.75,-0.197271
0.001796,0.303,0.75,80.75,80.75,-0.197271
0.001797,0.307,0.75,80.75,80.75,-0.197271
0.001798,0.309,0.75,80.75,80.75,-0.197271
0.001799,0.303,0.75,80.75,80.75,-0.197271
0.0018,0.309,0.75,80.75,80.75,-0.197271
0.001801,0.307,0.75,80.75,80.75,-0.197271
0.001802,0.311,0.73,80.73,80.73,-0.197211453
0.001803,0.309,0.75,80.75,80.75,-0.197271
0.001804,0.305,0.75,80.75,80.75,-0.197271
0.001805,0.303,0.75,80.75,80.75,-0.197271
0.001806,0.309,0.75,80.75,80.75,-0.197271
0.001807,0.309,0.73,80.73,80.73,-0.197211453
0.001808,0.305,0.75,80.75,80.75,-0.197271
0.001809,0.305,0.73,80.73,80.73,-0.197211453
0.00181,0.307,0.75,80.75,80.75,-0.197271
0.001811,0.303,0.75,80.75,80.75,-0.197271
0.001812,0.305,0.75,80.75,80.75,-0.197271
0.001813,0.305,0.75,80.75,80.75,-0.197271
0.001814,0.309,0.75,80.75,80.75,-0.197271
0.001815,0.303,0.73,80.73,80.73,-0.197211453
0.001816,0.307,0.73,80.73,80.73,-0.197211453
0.001817,0.307,0.73,80.73,80.73,-0.197211453
0.001818,0.309,0.73,80.73,80.73,-0.197211453
0.001819,0.307,0.73,80.73,80.73,-0.197211453
0.00182,0.305,0.73,80.73,80.73,-0.197211453
0.001821,0.309,0.73,80.73,80.73,-0.197211453
0.001822,0.307,0.71,80.71,80.71,-0.197151906
0.001823,0.307,0.73,80.73,80.73,-0.197211453
0.001824,0.307,0.73,80.73,80.73,-0.197211453
0.001825,0.307,0.73,80.73,80.73,-0.197211453
0.001826,0.307,0.73,80.73,80.73,-0.197211453
0.001827,0.307,0.71,80.71,80.71,-0.197151906
0.001828,0.303,0.71,80.71,80.71,-0.197151906
0.001829,0.303,0.73,80.73,80.73,-0.197211453
0.00183,0.307,0.71,80.71,80.71,-0.197151906
0.001831,0.307,0.73,80.73,80.73,-0.197211453
0.001832,0.307,0.73,80.73,80.73,-0.197211453
0.001833,0.309,0.73,80.73,80.73,-0.197211453
0.001834,0.307,0.73,80.73,80.73,-0.197211453
0.001835,0.307,0.73,80.73,80.73,-0.197211453
0.001836,0.309,0.73,80.73,80.73,-0.197211453
0.001837,0.307,0.73,80.73,80.73,-0.197211453
0.001838,0.311,0.73,80.73,80.73,-0.197211453
0.001839,0.307,0.71,80.71,80.71,-0.197151906
0.00184,0.309,0.73,80.73,80.73,-0.197211453
0.001841,0.309,0.73,80.73,80.73,-0.197211453
0.001842,0.309,0.73,80.73,80.73,-0.197211453
0.001843,0.309,0.73,80.73,80.73,-0.197211453
0.001844,0.305,0.71,80.71,80.71,-0.197151906
0.001845,0.303,0.71,80.71,80.71,-0.197151906
0.001846,0.309,0.73,80.73,80.73,-0.197211453
0.001847,0.305,0.73,80.73,80.73,-0.197211453
0.001848,0.307,0.73,80.73,80.73,-0.197211453
0.001849,0.309,0.73,80.73,80.73,-0.197211453
0.00185,0.305,0.73,80.73,80.73,-0.197211453
0.001851,0.307,0.73,80.73,80.73,-0.197211453
0.001852,0.305,0.73,80.73,80.73,-0.197211453
0.001853,0.305,0.73,80.73,80.73,-0.197211453
0.001854,0.309,0.71,80.71,80.71,-0.197151906
0.001855,0.309,0.73,80.73,80.73,-0.197211453
0.001856,0.311,0.71,80.71,80.71,-0.197151906
0.001857,0.307,0.71,80.71,80.71,-0.197151906
0.001858,0.307,0.73,80.73,80.73,-0.197211453
0.001859,0.309,0.73,80.73,80.73,-0.197211453
0.00186,0.305,0.73,80.73,80.73,-0.197211453
0.001861,0.309,0.73,80.73,80.73,-0.197211453
0.001862,0.309,0.73,80.73,80.73,-0.197211453
0.001863,0.309,0.71,80.71,80.71,-0.197151906
0.001864,0.305,0.73,80.73,80.73,-0.197211453
0.001865,0.307,0.73,80.73,80.73,-0.197211453
0.001866,0.305,0.71,80.71,80.71,-0.197151906
0.001867,0.309,0.71,80.71,80.71,-0.197151906
0.001868,0.309,0.71,80.71,80.71,-0.197151906
0.001869,0.307,0.71,80.71,80.71,-0.197151906
0.00187,0.305,0.71,80.71,80.71,-0.197151906
0.001871,0.309,0.69,80.69,80.69,-0.19709236
0.001872,0.305,0.71,80.71,80.71,-0.197151906
0.001873,0.307,0.71,80.71,80.71,-0.197151906
0.001874,0.307,0.71,80.71,80.71,-0.197151906
0.001875,0.309,0.69,80.69,80.69,-0.19709236
0.001876,0.307,0.71,80.71,80.71,-0.197151906
0.001877,0.305,0.71,80.71,80.71,-0.197151906
0.001878,0.305,0.71,80.71,80.71,-0.197151906
0.001879,0.305,0.71,80.71,80.71,-0.197151906
0.00188,0.309,0.69,80.69,80.69,-0.19709236
0.001881,0.305,0.71,80.71,80.71,-0.197151906
0.001882,0.309,0.69,80.69,80.69,-0.19709236
0.001883,0.307,0.71,80.71,80.71,-0.197151906
0.001884,0.305,0.71,80.71,80.71,-0.197151906
0.001885,0.307,0.71,80.71,80.71,-0.197151906
0.001886,0.305,0.71,80.71,80.71,-0.197151906
0.001887,0.305,0.71,80.71,80.71,-0.197151906
0.001888,0.305,0.69,80.69,80.69,-0.19709236
0.001889,0.303,0.71,80.71,80.71,-0.197151906
0.00189,0.307,0.71,80.71,80.71,-0.197151906
0.001891,0.307,0.71,80.71,80.71,-0.197151906
0.001892,0.309,0.69,80.69,80.69,-0.19709236
0.001893,0.305,0.71,80.71,80.71,-0.197151906
0.001894,0.309,0.71,80.71,80.71,-0.197151906
0.001895,0.307,0.71,80.71,80.71,-0.197151906
0.001896,0.309,0.69,80.69,80.69,-0.19709236
0.001897,0.305,0.71,80.71,80.71,-0.197151906
0.001898,0.311,0.69,80.69,80.69,-0.19709236
0.001899,0.307,0.71,80.71,80.71,-0.197151906
0.0019,0.309,0.71,80.71,80.71,-0.197151906
0.001901,0.309,0.69,80.69,80.69,-0.19709236
0.001902,0.307,0.71,80.71,80.71,-0.197151906
0.001903,0.309,0.71,80.71,80.71,-0.197151906
0.001904,0.307,0.69,80.69,80.69,-0.19709236
0.001905,0.309,0.69,80.69,80.69,-0.19709236
0.001906,0.305,0.71,80.71,80.71,-0.197151906
0.001907,0.307,0.69,80.69,80.69,-0.19709236
0.001908,0.309,0.71,80.71,80.71,-0.197151906
0.001909,0.309,0.71,80.71,80.71,-0.197151906
0.00191,0.303,0.67,80.67,80.67,-0.197032813
0.001911,0.305,0.71,80.71,80.71,-0.197151906
0.001912,0.309,0.71,80.71,80.71,-0.197151906
0.001913,0.309,0.69,80.69,80.69,-0.19709236
0.001914,0.311,0.71,80.71,80.71,-0.197151906
0.001915,0.303,0.67,80.67,80.67,-0.197032813
0.001916,0.311,0.69,80.69,80.69,-0.19709236
0.001917,0.307,0.69,80.69,80.69,-0.19709236
0.001918,0.309,0.67,80.67,80.67,-0.197032813
0.001919,0.309,0.69,80.69,80.69,-0.19709236
0.00192,0.309,0.69,80.69,80.69,-0.19709236
0.001921,0.305,0.69,80.69,80.69,-0.19709236
0.001922,0.307,0.67,80.67,80.67,-0.197032813
0.001923,0.307,0.69,80.69,80.69,-0.19709236
0.001924,0.305,0.69,80.69,80.69,-0.19709236
0.001925,0.309,0.67,80.67,80.67,-0.197032813
0.001926,0.307,0.69,80.69,80.69,-0.19709236
0.001927,0.305,0.69,80.69,80.69,-0.19709236
0.001928,0.307,0.69,80.69,80.69,-0.19709236
0.001929,0.307,0.67,80.67,80.67,-0.197032813
0.00193,0.307,0.69,80.69,80.69,-0.19709236
0.001931,0.309,0.69,80.69,80.69,-0.19709236
0.001932,0.307,0.69,80.69,80.69,-0.19709236
0.001933,0.309,0.67,80.67,80.67,-0.197032813
0.001934,0.307,0.69,80.69,80.69,-0.19709236
0.001935,0.305,0.69,80.69,80.69,-0.19709236
0.001936,0.309,0.69,80.69,80.69,-0.19709236
0.001937,0.309,0.69,80.69,80.69,-0.19709236
0.001938,0.309,0.69,80.69,80.69,-0.19709236
0.001939,0.309,0.69,80.69,80.69,-0.19709236
0.00194,0.307,0.67,80.67,80.67,-0.197032813
0.001941,0.309,0.69,80.69,80.69,-0.19709236
0.001942,0.307,0.69,80.69,80.69,-0.19709236
0.001943,0.307,0.67,80.67,80.67,-0.197032813
0.001944,0.307,0.69,80.69,80.69,-0.19709236
0.001945,0.307,0.67,80.67,80.67,-0.197032813
0.001946,0.307,0.67,80.67,80.67,-0.197032813
0.001947,0.309,0.69,80.69,80.69,-0.19709236
0.001948,0.307,0.69,80.69,80.69,-0.19709236
0.001949,0.307,0.69,80.69,80.69,-0.19709236
0.00195,0.307,0.69,80.69,80.69,-0.19709236
0.001951,0.309,0.69,80.69,80.69,-0.19709236
0.001952,0.305,0.67,80.67,80.67,-0.197032813
0.001953,0.307,0.67,80.67,80.67,-0.197032813
0.001954,0.305,0.69,80.69,80.69,-0.19709236
0.001955,0.305,0.69,80.69,80.69,-0.19709236
0.001956,0.305,0.69,80.69,80.69,-0.19709236
0.001957,0.307,0.69,80.69,80.69,-0.19709236
0.001958,0.307,0.67,80.67,80.67,-0.197032813
0.001959,0.311,0.69,80.69,80.69,-0.19709236
0.00196,0.307,0.69,80.69,80.69,-0.19709236
0.001961,0.307,0.69,80.69,80.69,-0.19709236
0.001962,0.307,0.69,80.69,80.69,-0.19709236
0.001963,0.307,0.69,80.69,80.69,-0.19709236
0.001964,0.307,0.65,80.65,80.65,-0.196973266
0.001965,0.309,0.67,80.67,80.67,-0.197032813
0.001966,0.303,0.65,80.65,80.65,-0.196973266
0.001967,0.309,0.67,80.67,80.67,-0.197032813
0.001968,0.307,0.67,80.67,80.67,-0.197032813
0.001969,0.309,0.67,80.67,80.67,-0.197032813
0.00197,0.311,0.67,80.67,80.67,-0.197032813
0.001971,0.309,0.67,80.67,80.67,-0.197032813
0.001972,0.307,0.65,80.65,80.65,-0.196973266
0.001973,0.305,0.67,80.67,80.67,-0.197032813
0.001974,0.311,0.67,80.67,80.67,-0.197032813
0.001975,0.305,0.67,80.67,80.67,-0.197032813
0.001976,0.311,0.67,80.67,80.67,-0.197032813
0.001977,0.307,0.67,80.67,80.67,-0.197032813
0.001978,0.307,0.67,80.67,80.67,-0.197032813
0.001979,0.309,0.65,80.65,80.65,-0.196973266
0.00198,0.309,0.65,80.65,80.65,-0.196973266
0.001981,0.311,0.65,80.65,80.65,-0.196973266
0.001982,0.309,0.67,80.67,80.67,-0.197032813
0.001983,0.309,0.67,80.67,80.67,-0.197032813
0.001984,0.309,0.67,80.67,80.67,-0.197032813
0.001985,0.307,0.67,80.67,80.67,-0.197032813
0.001986,0.307,0.67,80.67,80.67,-0.197032813
0.001987,0.305,0.67,80.67,80.67,-0.197032813
0.001988,0.309,0.65,80.65,80.65,-0.196973266
0.001989,0.305,0.67,80.67,80.67,-0.197032813
0.00199,0.311,0.65,80.65,80.65,-0.196973266
0.001991,0.307,0.67,80.67,80.67,-0.197032813
0.001992,0.311,0.67,80.67,80.67,-0.197032813
0.001993,0.309,0.67,80.67,80.67,-0.197032813
0.001994,0.305,0.65,80.65,80.65,-0.196973266
0.001995,0.309,0.67,80.67,80.67,-0.197032813
0.001996,0.309,0.65,80.65,80.65,-0.196973266
0.001997,0.309,0.67,80.67,80.67,-0.197032813
0.001998,0.305,0.67,80.67,80.67,-0.197032813
0.001999,0.309,0.67,80.67,80.67,-0.197032813
0.002,0.309,0.67,80.67,80.67,-0.197032813
0.002001,0.309,0.65,80.65,80.65,-0.196973266
0.002002,0.307,0.67,80.67,80.67,-0.197032813
0.002003,0.307,0.67,80.67,80.67,-0.197032813
0.002004,0.309,0.65,80.65,80.65,-0.196973266
