voltage
80.11
80.11
80.11
80.11
80.11
80.11
80.11
80.106
80.11
80.11
80.11
80.11
80.11
80.11
80.11
80.11
80.11
80.11
80.106
80.11
80.11
80.11
80.11
80.11
80.106
80.11
80.11
80.11
80.106
80.11
80.11
80.11
80.11
80.11
80.11
80.11
80.11
80.11
80.11
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.11
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.11
80.114
80.114
80.114
80.11
80.114
80.11
80.114
80.114
80.114
80.114
80.114
80.114
80.114
80.11
80.114
80.114
80.118
80.114
80.118
80.118
80.114
80.118
80.118
80.114
80.118
80.118
80.118
80.118
80.118
80.118
80.118
80.118
80.114
80.118
80.118
80.114
80.114
80.118
80.114
80.118
80.114
80.118
80.118
80.114
80.118
80.118
80.118
80.118
80.118
80.114
80.118
80.118
80.118
80.118
80.114
80.114
80.114
80.114
80.114
80.118
80.114
80.118
80.118
80.118
80.118
80.118
80.118
80.122
80.118
80.122
80.118
80.122
80.118
80.122
80.122
80.122
80.118
80.122
80.122
80.118
80.118
80.122
80.118
80.122
80.118
80.122
80.122
80.122
80.118
80.122
80.122
80.122
80.122
80.118
80.118
80.122
80.122
80.122
80.122
80.122
80.122
80.122
80.118
80.118
80.122
80.122
80.122
80.122
80.122
80.122
80.122
80.118
80.122
80.122
80.122
80.122
80.122
80.126
80.122
80.126
80.126
80.126
80.126
80.126
80.122
80.122
80.126
80.126
80.122
80.126
80.126
80.126
80.126
80.126
80.126
80.126
80.126
80.126
80.126
80.126
80.122
80.122
80.126
80.122
80.126
80.122
80.122
80.122
80.126
80.122
80.122
80.126
80.126
80.122
80.126
80.126
80.122
80.122
80.126
80.126
80.126
80.122
80.126
80.126
80.126
80.13
80.126
80.126
80.126
80.126
80.13
80.13
80.13
80.13
80.126
80.126
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.126
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.126
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.13
80.126
80.13
80.13
80.126
80.134
80.13
80.13
80.13
