voltage,wavelength
27,-0.05629503 
27.1,-0.05651196 
27.2,-0.05673627 
27.3,-0.05698953 
27.4,-0.05724222 
27.5,-0.05747130 
27.6,-0.05769129 
27.7,-0.05790284 
27.8,-0.05813842 
27.9,-0.05841404 
28,-0.05867980 
28.1,-0.05892358 
28.2,-0.05915939 
28.3,-0.05939012 
28.4,-0.05966327 
28.5,-0.05992257 
28.6,-0.06016132 
28.7,-0.06038006 
28.8,-0.06058970 
28.9,-0.06081896 
29,-0.06107914 
29.1,-0.06133570 
29.2,-0.06157353 
29.3,-0.06180714 
29.4,-0.06204358 
29.5,-0.06229480 
29.6,-0.06256001 
29.7,-0.06280547 
29.8,-0.06304322 
29.9,-0.06326225 
30,-0.06349911 
30.1,-0.06375776 
30.2,-0.06402443 
30.3,-0.06428539 
30.4,-0.06453252 
30.5,-0.06478089 
30.6,-0.06503571 
30.7,-0.06530350 
30.8,-0.06556212 
30.9,-0.06581625 
31,-0.06605183 
31.1,-0.06629504 
31.2,-0.06655198 
31.3,-0.06682383 
31.4,-0.06708491 
31.5,-0.06734468 
31.6,-0.06759403 
31.7,-0.06785580 
31.8,-0.06812229 
31.9,-0.06839073 
32,-0.06864768 
32.1,-0.06888671 
32.2,-0.06913471 
32.3,-0.06939737 
32.4,-0.06966216 
32.5,-0.06992022 
32.6,-0.07016957 
32.7,-0.07040883 
32.8,-0.07066060 
32.9,-0.07091029 
33,-0.07115580 
33.1,-0.07139268 
33.2,-0.07162958 
33.3,-0.07185740 
33.4,-0.07210307 
33.5,-0.07233278 
33.6,-0.07257278 
33.7,-0.07280576 
33.8,-0.07304075 
33.9,-0.07326852 
34,-0.07350934 
34.1,-0.07376104 
34.2,-0.07400883 
34.3,-0.07425476 
34.4,-0.07448168 
34.5,-0.07470863 
34.6,-0.07494770 
34.7,-0.07520086 
34.8,-0.07545116 
34.9,-0.07569552 
35,-0.07592878 
35.1,-0.07618812 
35.2,-0.07644511 
35.3,-0.07670429 
35.4,-0.07695140 
35.5,-0.07718437 
35.6,-0.07741540 
35.7,-0.07766534 
35.8,-0.07792524 
35.9,-0.07818225 
36,-0.07843122 
36.1,-0.07867511 
36.2,-0.07893999 
36.3,-0.07921784 
36.4,-0.07949855 
36.5,-0.07976332 
36.6,-0.08001088 
36.7,-0.08026647 
36.8,-0.08053514 
36.9,-0.08080788 
37,-0.08107243 
37.1,-0.08132517 
37.2,-0.08158107 
37.3,-0.08184189 
37.4,-0.08211878 
37.5,-0.08238216 
37.6,-0.08263655 
37.7,-0.08287494 
37.8,-0.08311862 
37.9,-0.08336347 
38,-0.08361604 
38.1,-0.08385145 
38.2,-0.08409119 
38.3,-0.08432803 
38.4,-0.08458399 
38.5,-0.08485075 
38.6,-0.08510624 
38.7,-0.08535866 
38.8,-0.08560352 
38.9,-0.08585478 
39,-0.08610689 
39.1,-0.08635989 
39.2,-0.08660360 
39.3,-0.08684981 
39.4,-0.08709622 
39.5,-0.08735683 
39.6,-0.08761380 
39.7,-0.08787847 
39.8,-0.08813140 
39.9,-0.08838291 
40,-0.08863834 
40.1,-0.08889555 
40.2,-0.08915334 
40.3,-0.08941229 
40.4,-0.08966545 
40.5,-0.08993093 
40.6,-0.09019529 
40.7,-0.09047106 
40.8,-0.09074368 
40.9,-0.09100243 
41,-0.09127247 
41.1,-0.09154170 
41.2,-0.09181630 
41.3,-0.09208294 
41.4,-0.09234363 
41.5,-0.09260571 
41.6,-0.09287022 
41.7,-0.09313604 
41.8,-0.09339466 
41.9,-0.09363812 
42,-0.09388783 
42.1,-0.09413684 
42.2,-0.09439848 
42.3,-0.09464975 
42.4,-0.09490209 
42.5,-0.09514571 
42.6,-0.09541271 
42.7,-0.09568062 
42.8,-0.09594034 
42.9,-0.09617789 
43,-0.09642457 
43.1,-0.09667670 
43.2,-0.09694262 
43.3,-0.09720124 
43.4,-0.09745143 
43.5,-0.09769898 
43.6,-0.09794098 
43.7,-0.09820996 
43.8,-0.09847204 
43.9,-0.09873112 
44,-0.09897371 
44.1,-0.09921311 
44.2,-0.09947340 
44.3,-0.09973521 
44.4,-0.09999106 
44.5,-0.10024176 
44.6,-0.10047809 
44.7,-0.10074532 
44.8,-0.10102127 
44.9,-0.10129898 
45,-0.10156768 
45.1,-0.10181906 
45.2,-0.10209463 
45.3,-0.10238368 
45.4,-0.10266943 
45.5,-0.10293824 
45.6,-0.10319837 
45.7,-0.10346212 
45.8,-0.10374424 
45.9,-0.10402384 
46,-0.10429427 
46.1,-0.10454139 
46.2,-0.10480389 
46.3,-0.10508525 
46.4,-0.10539280 
46.5,-0.10567335 
46.6,-0.10593821 
46.7,-0.10620335 
46.8,-0.10647448 
46.9,-0.10674203 
47,-0.10702562 
47.1,-0.10727140 
47.2,-0.10752235 
47.3,-0.10780968 
47.4,-0.10808548 
47.5,-0.10836417 
47.6,-0.10860606 
47.7,-0.10885589 
47.8,-0.10912501 
47.9,-0.10940188 
48,-0.10966353 
48.1,-0.10989047 
48.2,-0.11010435 
48.3,-0.11036343 
48.4,-0.11063063 
48.5,-0.11089565 
48.6,-0.11113175 
48.7,-0.11135293 
48.8,-0.11161401 
48.9,-0.11189812 
49,-0.11217119 
49.1,-0.11241124 
49.2,-0.11263211 
49.3,-0.11287614 
49.4,-0.11316340 
49.5,-0.11344196 
49.6,-0.11369934 
49.7,-0.11393252 
49.8,-0.11419352 
49.9,-0.11448365 
50,-0.11476732 
50.1,-0.11502355 
50.2,-0.11526516 
50.3,-0.11550483 
50.4,-0.11577893 
50.5,-0.11605357 
50.6,-0.11631137 
50.7,-0.11655691 
50.8,-0.11681629 
50.9,-0.11709994 
51,-0.11739843 
51.1,-0.11767101 
51.2,-0.11792827 
51.3,-0.11819721 
51.4,-0.11847370 
51.5,-0.11875824 
51.6,-0.11902086 
51.7,-0.11926907 
51.8,-0.11952599 
51.9,-0.11980040 
52,-0.12007617 
52.1,-0.12034376 
52.2,-0.12059814 
52.3,-0.12085707 
52.4,-0.12112124 
52.5,-0.12139509 
