voltage,wavelength
29.6,-0.0625405
29.7,-0.0628065
29.8,-0.0630525
29.9,-0.0632905
30,-0.0635095
30.1,-0.0637465
30.2,-0.0640055
30.3,-0.0642725
30.4,-0.0645335
30.5,-0.0647805
30.6,-0.0650285
30.7,-0.0652835
30.8,-0.0655515
30.9,-0.0658105
31,-0.0660645
31.1,-0.0662995
31.2,-0.0665425
31.3,-0.0667995
31.4,-0.0670715
31.5,-0.0673325
31.6,-0.0675915
31.7,-0.0678405
31.8,-0.0681025
31.9,-0.0683695
32,-0.0686385
32.1,-0.0688955
32.2,-0.0691345
32.3,-0.0693825
32.4,-0.0696455
32.5,-0.0699105
32.6,-0.0701685
32.7,-0.0704175
32.8,-0.0706565
32.9,-0.0709085
33,-0.0711585
33.1,-0.0714045
33.2,-0.0716415
33.3,-0.0718785
33.4,-0.0721065
33.5,-0.0723525
33.6,-0.0725825
33.7,-0.0728225
33.8,-0.0730555
33.9,-0.0732905
34,-0.0735185
34.1,-0.0737595
34.2,-0.0740115
34.3,-0.0742595
34.4,-0.0745055
34.5,-0.0747325
34.6,-0.0749595
34.7,-0.0751985
34.8,-0.0754515
34.9,-0.0757015
35,-0.0759455
35.1,-0.0761785
35.2,-0.0764375
35.3,-0.0766945
35.4,-0.0769535
35.5,-0.0772005
35.6,-0.0774335
35.7,-0.0776645
35.8,-0.0779145
35.9,-0.0781745
36,-0.0784315
36.1,-0.0786805
36.2,-0.0789245
36.3,-0.0791895
36.4,-0.0794675
36.5,-0.0797485
36.6,-0.0800135
36.7,-0.0802615
36.8,-0.0805175
36.9,-0.0807865
37,-0.0810595
37.1,-0.0813245
37.2,-0.0815775
37.3,-0.0818335
37.4,-0.0820945
37.5,-0.0823715
37.6,-0.0826355
37.7,-0.0828905
37.8,-0.0831295
37.9,-0.0833735
38,-0.0836185
38.1,-0.0838715
38.2,-0.0841075
38.3,-0.0843475
38.4,-0.0845845
38.5,-0.0848405
38.6,-0.0851075
38.7,-0.0853635
38.8,-0.0856165
38.9,-0.0858615
39,-0.0861125
39.1,-0.0863645
39.2,-0.0866175
39.3,-0.0868615
39.4,-0.0871075
39.5,-0.0873535
39.6,-0.0876135
39.7,-0.0878705
39.8,-0.0881355
39.9,-0.0883885
40,-0.0886395
40.1,-0.0888945
40.2,-0.0891515
40.3,-0.0894095
40.4,-0.0896685
40.5,-0.0899215
40.6,-0.0901865
40.7,-0.0904505
40.8,-0.0907265
40.9,-0.0909995
41,-0.0912585
41.1,-0.0915285
41.2,-0.0917975
41.3,-0.0920725
41.4,-0.0923395
41.5,-0.0926005
41.6,-0.0928625
41.7,-0.0931265
41.8,-0.0933925
41.9,-0.0936515
42,-0.0938955
42.1,-0.0941455
42.2,-0.0943945
42.3,-0.0946565
42.4,-0.0949085
42.5,-0.0951615
42.6,-0.0954055
42.7,-0.0956725
42.8,-0.0959405
42.9,-0.0962005
43,-0.0964385
43.1,-0.0966855
43.2,-0.0969375
43.3,-0.0972035
43.4,-0.0974625
43.5,-0.0977135
