voltage,wavelength
30.5,-0.063517333
30.6,-0.063779333
30.7,-0.06404
30.8,-0.064286
30.9,-0.064532667
31,-0.064784667
31.1,-0.065050667
31.2,-0.065312
31.3,-0.065561333
31.4,-0.065796667
31.5,-0.066037333
31.6,-0.066298
31.7,-0.066564667
31.8,-0.066828667
31.9,-0.067083333
32,-0.067334
32.1,-0.067593333
32.2,-0.06786
32.3,-0.068124667
32.4,-0.068385333
32.5,-0.068621333
32.6,-0.068866667
32.7,-0.069128
32.8,-0.06939
32.9,-0.06965
33,-0.069897333
33.1,-0.070136667
33.2,-0.070381333
33.3,-0.070631333
33.4,-0.07088
33.5,-0.071117333
33.6,-0.071353333
33.7,-0.071582
33.8,-0.07182
33.9,-0.072055333
34,-0.072288667
34.1,-0.072526
34.2,-0.072755333
34.3,-0.072982667
34.4,-0.073205333
34.5,-0.073446667
34.6,-0.073649333
34.7,-0.073846667
34.8,-0.074036667
34.9,-0.074259333
35,-0.074486667
35.1,-0.074726667
35.2,-0.074974667
35.3,-0.075224667
35.4,-0.075464667
35.5,-0.075700667
35.6,-0.075958
35.7,-0.076216667
35.8,-0.076471333
35.9,-0.076718
36,-0.076948667
36.1,-0.077180667
36.2,-0.077431333
36.3,-0.077690667
36.4,-0.077946
36.5,-0.078193333
36.6,-0.078437333
36.7,-0.078703333
36.8,-0.078978667
36.9,-0.079257333
37,-0.079518667
37.1,-0.079766
37.2,-0.080021333
37.3,-0.080288667
37.4,-0.080561333
37.5,-0.080822667
37.6,-0.081075333
37.7,-0.081332
37.8,-0.081593333
37.9,-0.081866
38,-0.08213
38.1,-0.082382
38.2,-0.082622
38.3,-0.082866
38.4,-0.08311
38.5,-0.08336
38.6,-0.083597333
38.7,-0.083834667
38.8,-0.08407
38.9,-0.084324
39,-0.084586
39.1,-0.084845333
39.2,-0.085095333
39.3,-0.085340667
39.4,-0.085586
39.5,-0.085839333
39.6,-0.086086
39.7,-0.086334667
39.8,-0.086575333
39.9,-0.086819333
40,-0.087076
40.1,-0.087334667
40.2,-0.087597333
40.3,-0.087852667
40.4,-0.088102667
40.5,-0.088342
40.6,-0.088598667
40.7,-0.088845333
40.8,-0.089092667
40.9,-0.089336
41,-0.089582
41.1,-0.089846667
41.2,-0.090116
41.3,-0.090371333
41.4,-0.09063
41.5,-0.09088
41.6,-0.09115
41.7,-0.091409333
41.8,-0.091664667
41.9,-0.091920667
42,-0.092179333
42.1,-0.092436667
42.2,-0.092695333
42.3,-0.092944667
42.4,-0.093195333
42.5,-0.093438667
42.6,-0.093676
42.7,-0.09393
42.8,-0.094185333
42.9,-0.094442
43,-0.094690667
43.1,-0.094934667
43.2,-0.095196667
43.3,-0.095466
43.4,-0.095720667
43.5,-0.095962
43.6,-0.096203333
43.7,-0.096455333
43.8,-0.096720667
43.9,-0.096976667
44,-0.097229333
44.1,-0.097472
44.2,-0.097718667
44.3,-0.097984667
44.4,-0.098245333
44.5,-0.098502667
44.6,-0.098745333
44.7,-0.098982667
44.8,-0.099245333
44.9,-0.099501333
45,-0.099758
45.1,-0.100006667
45.2,-0.100244
45.3,-0.100504
45.4,-0.100782667
45.5,-0.101056
45.6,-0.101325333
45.7,-0.101576667
45.8,-0.101843333
45.9,-0.102132667
46,-0.102416667
46.1,-0.102689333
46.2,-0.102944667
46.3,-0.103206667
46.4,-0.103484667
46.5,-0.103762
46.6,-0.104032667
46.7,-0.104283333
46.8,-0.104539333
46.9,-0.104825333
47,-0.105120667
47.1,-0.10541
47.2,-0.105669333
47.3,-0.105933333
47.4,-0.106204667
47.5,-0.106470667
47.6,-0.106746667
47.7,-0.106998667
47.8,-0.107242667
47.9,-0.107519333
48,-0.10779
48.1,-0.108067333
48.2,-0.108311333
48.3,-0.108534
48.4,-0.108803333
48.5,-0.109067333
48.6,-0.109321333
48.7,-0.109553333
48.8,-0.109770667
48.9,-0.11
49,-0.110253333
49.1,-0.110517333
49.2,-0.110757333
49.3,-0.110975333
49.4,-0.111208
49.5,-0.111478
49.6,-0.111739333
49.7,-0.112000667
49.8,-0.11223
49.9,-0.112444
50,-0.112696
50.1,-0.112974667
50.2,-0.113242
50.3,-0.113488
50.4,-0.113724667
50.5,-0.113984
50.6,-0.114278667
50.7,-0.114560667
50.8,-0.114813333
50.9,-0.11505
51,-0.115297333
51.1,-0.115567333
51.2,-0.115844
51.3,-0.116098
51.4,-0.116342
51.5,-0.116602
51.6,-0.116888667
51.7,-0.117181333
51.8,-0.117451333
51.9,-0.117708
52,-0.117974
52.1,-0.118253333
52.2,-0.118536
52.3,-0.118798667
52.4,-0.119046
52.5,-0.119303333
52.6,-0.119575333
52.7,-0.119853333
52.8,-0.120117333
52.9,-0.120372
53,-0.120632667
53.1,-0.120895333
53.2,-0.121166667
53.3,-0.121423333
53.4,-0.121673333
53.5,-0.121932667
53.6,-0.1222
53.7,-0.122485333
53.8,-0.122757333
53.9,-0.123022667
54,-0.123292667
54.1,-0.123572
54.2,-0.123867333
54.3,-0.124152667
54.4,-0.124424667
54.5,-0.124709333
54.6,-0.124996667
54.7,-0.125305333
54.8,-0.125592667
54.9,-0.125863333
55,-0.126144
55.1,-0.126425333
55.2,-0.126721333
55.3,-0.127008667
55.4,-0.127291333
55.5,-0.127573333
55.6,-0.127866
55.7,-0.128162
55.8,-0.128446
55.9,-0.128731333
56,-0.128999333
56.1,-0.129292667
56.2,-0.129584
56.3,-0.129861333
56.4,-0.130134667
56.5,-0.130400667
56.6,-0.130665333
56.7,-0.130948667
56.8,-0.131222667
56.9,-0.131477333
57,-0.131740667
57.1,-0.131998667
57.2,-0.132246
57.3,-0.132499333
57.4,-0.132756
57.5,-0.132997333
57.6,-0.13323
57.7,-0.133482667
57.8,-0.133731333
57.9,-0.133986667
58,-0.134246667
58.1,-0.134486
58.2,-0.134734667
58.3,-0.134986667
58.4,-0.135252667
58.5,-0.135506667
58.6,-0.135746
58.7,-0.135983333
58.8,-0.136238667
58.9,-0.136506
59,-0.136765333
59.1,-0.13701
59.2,-0.137237333
59.3,-0.137487333
59.4,-0.137747333
59.5,-0.137995333
59.6,-0.138224667
59.7,-0.138448
59.8,-0.138688
59.9,-0.138964
60,-0.139227333
60.1,-0.13947
60.2,-0.139704667
60.3,-0.139946667
60.4,-0.140217333
60.5,-0.140481333
60.6,-0.140731333
60.7,-0.140971333
60.8,-0.141227333
60.9,-0.141492667
61,-0.141759333
61.1,-0.142008
61.2,-0.142251333
61.3,-0.142496
61.4,-0.142753333
61.5,-0.143033333
61.6,-0.1433
61.7,-0.143555333
61.8,-0.143824667
61.9,-0.144102667
62,-0.144394
62.1,-0.144684
62.2,-0.144955333
62.3,-0.145226
62.4,-0.145506
62.5,-0.145813333
62.6,-0.146112
62.7,-0.146393333
62.8,-0.14667
62.9,-0.146962
63,-0.147261333
63.1,-0.147545333
63.2,-0.147806
63.3,-0.148056667
63.4,-0.148326
63.5,-0.148612667
63.6,-0.148893333
63.7,-0.149144
63.8,-0.149396
63.9,-0.149158667
64,-0.149394
64.1,-0.149650667
64.2,-0.149904667
64.3,-0.150162667
64.4,-0.150434
64.5,-0.150717333
64.6,-0.150980667
64.7,-0.15124
64.8,-0.15148
64.9,-0.15174
65,-0.152008
65.1,-0.152278
65.2,-0.152536
65.3,-0.152792667
65.4,-0.153055333
65.5,-0.153338667
65.6,-0.153605333
65.7,-0.153876
65.8,-0.154122667
65.9,-0.154389333
66,-0.154668667
66.1,-0.154939333
66.2,-0.155202
66.3,-0.15547
66.4,-0.155744667
66.5,-0.156042
66.6,-0.156337333
66.7,-0.156627333
66.8,-0.156894667
66.9,-0.157170667
67,-0.157456
67.1,-0.157732667
67.2,-0.158007333
67.3,-0.158254
67.4,-0.158518
67.5,-0.158804667
67.6,-0.159091333
67.7,-0.159371333
67.8,-0.159629333
67.9,-0.159887333
68,-0.160166667
68.1,-0.160448
68.2,-0.160721333
68.3,-0.160972667
68.4,-0.161234
68.5,-0.161523333
68.6,-0.161821333
68.7,-0.162104
68.8,-0.162362667
68.9,-0.162624
69,-0.162908
69.1,-0.163198
69.2,-0.163479333
69.3,-0.163732667
69.4,-0.164009333
69.5,-0.164304
69.6,-0.164594
69.7,-0.164870667
69.8,-0.165122
69.9,-0.165389333
70,-0.165678667
70.1,-0.165966667
70.2,-0.166249333
70.3,-0.166508667
70.4,-0.166784
70.5,-0.167076
70.6,-0.167352667
70.7,-0.167616
70.8,-0.167865333
70.9,-0.168128667
71,-0.168418667
71.1,-0.168696667
71.2,-0.16896
71.3,-0.169218
71.4,-0.169488
71.5,-0.169768
71.6,-0.170030667
71.7,-0.170282667
71.8,-0.170534
71.9,-0.170785333
72,-0.171068667
72.1,-0.17133
72.2,-0.171576
72.3,-0.171822
72.4,-0.172074
72.5,-0.172348667
72.6,-0.172612667
72.7,-0.172857333
72.8,-0.173116
72.9,-0.173458
73,-0.173594667
73.1,-0.173836
73.2,-0.174077333
73.3,-0.174307333
73.4,-0.174529333
73.5,-0.174797333
73.6,-0.175075333
73.7,-0.175336
73.8,-0.175584
73.9,-0.175836667
74,-0.176112
74.1,-0.176391333
74.2,-0.176648667
74.3,-0.176895333
74.4,-0.177144
74.5,-0.177431333
74.6,-0.177724
74.7,-0.178004667
74.8,-0.178273333
74.9,-0.178532
75,-0.178814
75.1,-0.179093333
75.2,-0.179354667
75.3,-0.179596
75.4,-0.179836
75.5,-0.180115333
75.6,-0.180397333
75.7,-0.180682
75.8,-0.180941333
75.9,-0.181194667
76,-0.181474
76.1,-0.181756667
76.2,-0.182028667
76.3,-0.18228
76.4,-0.182534667
76.5,-0.182834667
76.6,-0.183125333
76.7,-0.183418667
76.8,-0.183679333
76.9,-0.183935333
77,-0.184228667
77.1,-0.184512
77.2,-0.184794
77.3,-0.185050667
77.4,-0.185316
77.5,-0.185621333
77.6,-0.185914667
77.7,-0.186212667
77.8,-0.186478
77.9,-0.186754
78,-0.187048
78.1,-0.187334
78.2,-0.187617333
78.3,-0.187888
78.4,-0.188164667
78.5,-0.188452
78.6,-0.188733333
78.7,-0.189020667
78.8,-0.18929
78.9,-0.189561333
79,-0.189824667
79.1,-0.190088
79.2,-0.190346
79.3,-0.190590667
79.4,-0.190831333
79.5,-0.191084667
79.6,-0.191338
79.7,-0.191593333
79.8,-0.191836667
79.9,-0.192106667
80,-0.19236
80.1,-0.192732667
80.2,-0.192860667
80.3,-0.193108
80.4,-0.193340667
80.5,-0.1936
80.6,-0.193855333
80.7,-0.19411
80.8,-0.194352667
80.9,-0.194589333
81,-0.194857333
81.1,-0.195128667
81.2,-0.195406667
81.3,-0.195651333
81.4,-0.195895333
81.5,-0.196145333
81.6,-0.196433333
81.7,-0.1967
81.8,-0.196944667
81.9,-0.197198
82,-0.197470667
82.1,-0.197787333
82.2,-0.198077333
82.3,-0.198334667
82.4,-0.198595333
82.5,-0.198876667
82.6,-0.199186667
82.7,-0.199464667
82.8,-0.199712667
82.9,-0.199964667
83,-0.200257333
83.1,-0.200568
83.2,-0.200849333
83.3,-0.201095333
83.4,-0.201342
83.5,-0.201614
83.6,-0.201906
83.7,-0.202164
83.8,-0.202397333
83.9,-0.202634667
84,-0.20291
84.1,-0.203210667
84.2,-0.203479333
84.3,-0.203710667
84.4,-0.203954
84.5,-0.204222667
84.6,-0.204511333
84.7,-0.204776667
84.8,-0.205009333
84.9,-0.205248667
85,-0.20552
85.1,-0.205816
85.2,-0.206102
85.3,-0.206342667
85.4,-0.20658
85.5,-0.206847333
85.6,-0.207136
85.7,-0.20741
85.8,-0.207651333
85.9,-0.207895333
86,-0.208174667
86.1,-0.208470667
86.2,-0.208762667
86.3,-0.209016667
86.4,-0.209270667
86.5,-0.209556667
86.6,-0.209858667
86.7,-0.210144
86.8,-0.2104
86.9,-0.210656667
87,-0.210940667
87.1,-0.211225333
87.2,-0.211500667
87.3,-0.211746667
87.4,-0.211980667
87.5,-0.212255333
87.6,-0.212523333
87.7,-0.212782
87.8,-0.213014
87.9,-0.213244
88,-0.213521333
88.1,-0.213795333
88.2,-0.214047333
88.3,-0.214270667
88.4,-0.21452
88.5,-0.214782
88.6,-0.21505
88.7,-0.215306
88.8,-0.215551333
88.9,-0.215795333
89,-0.216054
89.1,-0.216334667
89.2,-0.216592
89.3,-0.216828667
89.4,-0.217069333
89.5,-0.217336
89.6,-0.217614667
89.7,-0.217873333
89.8,-0.218114
89.9,-0.218360667
90,-0.218637333
90.1,-0.218932
90.2,-0.219196667
90.3,-0.21943
90.4,-0.219676667
90.5,-0.219958
90.6,-0.220252667
90.7,-0.220530667
90.8,-0.220786
90.9,-0.221062667
91,-0.221364
91.1,-0.221678667
91.2,-0.221966667
91.3,-0.222230667
91.4,-0.222488667
91.5,-0.222778667
91.6,-0.223076667
91.7,-0.223354667
91.8,-0.223612667
91.9,-0.223872
92,-0.224158667
92.1,-0.22447
92.2,-0.224762
92.3,-0.225030667
92.4,-0.225282667
92.5,-0.225564
92.6,-0.225852667
92.7,-0.22612
92.8,-0.226365333
92.9,-0.226607333
93,-0.226878667
93.1,-0.227166
93.2,-0.22744
93.3,-0.227692667
93.4,-0.227929333
93.5,-0.228188
93.6,-0.228452667
93.7,-0.2287
93.8,-0.228917333
93.9,-0.229136
94,-0.229387333
94.1,-0.229654667
94.2,-0.229914667
94.3,-0.230150667
94.4,-0.230372667
94.5,-0.230637333
94.6,-0.230914667
94.7,-0.231172
94.8,-0.23141
94.9,-0.231628667
95,-0.231878
95.1,-0.232162
95.2,-0.232438667
95.3,-0.232694667
95.4,-0.232936
95.5,-0.233193333
95.6,-0.233486
95.7,-0.233775333
95.8,-0.234034
95.9,-0.234265333
96,-0.234504667
96.1,-0.234785333
96.2,-0.235083333
96.3,-0.235360667
96.4,-0.235615333
96.5,-0.235876
96.6,-0.236164667
96.7,-0.236454
96.8,-0.236734
96.9,-0.236974667
97,-0.237224
97.1,-0.237507333
97.2,-0.237798
97.3,-0.238074667
97.4,-0.238325333
97.5,-0.238565333
97.6,-0.238826667
97.7,-0.239083333
97.8,-0.239335333
97.9,-0.239566667
98,-0.239792
98.1,-0.240039333
98.2,-0.240298667
98.3,-0.240552667
98.4,-0.240786667
98.5,-0.241014667
98.6,-0.241257333
98.7,-0.241514667
98.8,-0.241775333
98.9,-0.242017333
99,-0.242256667
99.1,-0.242507333
99.2,-0.242792667
99.3,-0.243082667
99.4,-0.24336
99.5,-0.243633333
99.6,-0.243914667
99.7,-0.244218
99.8,-0.244521333
99.9,-0.244797333
100,-0.245060667
100.1,-0.245334667
100.2,-0.245655333
100.3,-0.245978
100.4,-0.246278
100.5,-0.24657
100.6,-0.246884667
100.7,-0.247232667
100.8,-0.247557333
100.9,-0.247861333
101,-0.248152667
101.1,-0.248473333
101.2,-0.248802
101.3,-0.24912
101.4,-0.249407333
101.5,-0.24969
101.6,-0.249986
101.7,-0.250280667
101.8,-0.250558
101.9,-0.250812
102,-0.251060667
102.1,-0.251315333
102.2,-0.251570667
102.3,-0.251808
102.4,-0.252028667
102.5,-0.252247333
102.6,-0.25249
102.7,-0.252738667
102.8,-0.252968
102.9,-0.25318
103,-0.253396667
103.1,-0.25362
103.2,-0.253856667
103.3,-0.254086
103.4,-0.254289333
103.5,-0.254495333
103.6,-0.254718
103.7,-0.254961333
103.8,-0.255198
103.9,-0.255418
104,-0.255638667
104.1,-0.255856667
104.2,-0.256084
104.3,-0.256318
104.4,-0.256532
104.5,-0.256743333
104.6,-0.256964
104.7,-0.257206667
104.8,-0.257449333
104.9,-0.257681333
105,-0.257910667
105.1,-0.258146
105.2,-0.258392667
105.3,-0.258656667
105.4,-0.258908
105.5,-0.259148
105.6,-0.259410667
105.7,-0.259691333
105.8,-0.259982667
105.9,-0.260252
106,-0.260506667
106.1,-0.260767333
106.2,-0.261042
106.3,-0.261337333
106.4,-0.261631333
106.5,-0.261915333
106.6,-0.262216
106.7,-0.262529333
106.8,-0.262859333
106.9,-0.26319
107,-0.263544667
107.1,-0.263876
107.2,-0.264195333
107.3,-0.264534
107.4,-0.264899333
107.5,-0.265231333
107.6,-0.265542667
107.7,-0.265836
107.8,-0.266138667
107.9,-0.266438667
108,-0.266736
108.1,-0.267018667
108.2,-0.267274667
108.3,-0.267529333
108.4,-0.267783333
108.5,-0.268036
108.6,-0.268270667
108.7,-0.268494667
108.8,-0.267556667
108.9,-0.267835333
109,-0.268110667
109.1,-0.268366667
109.2,-0.268594667
109.3,-0.268852
109.4,-0.269147333
109.5,-0.269434667
109.6,-0.269685333
109.7,-0.269914667
109.8,-0.270159333
109.9,-0.270448667
110,-0.270738667
110.1,-0.271002
110.2,-0.271244
110.3,-0.271492
110.4,-0.271784667
110.5,-0.272074667
110.6,-0.272335333
110.7,-0.272566
110.8,-0.272791333
110.9,-0.273071333
111,-0.273354667
111.1,-0.273614
111.2,-0.273860667
111.3,-0.274094667
111.4,-0.274379333
111.5,-0.274689333
111.6,-0.274975333
111.7,-0.275228
111.8,-0.275462667
111.9,-0.275734667
112,-0.27602
112.1,-0.276304
112.2,-0.276558
112.3,-0.276797333
112.4,-0.277061333
112.5,-0.277343333
112.6,-0.277624
112.7,-0.277878
112.8,-0.278120667
112.9,-0.278355333
113,-0.278618
113.1,-0.278892667
